"sample.id","Province/State","Country/Region","Lat","Long","nb.cases.per.day","power.law.exponent","growth.rate.incidence.package","doubling.time","earlyR0.nishiura","earlyR0.wang","earlyR0.du","growth.rate.R0.package","R0.EG.nishiura","R0.EG.wang","R0.EG.du","R0.ML.nishiura","R0.ML.wang","R0.ML.du","total.nb.cases","first.date","end.date","observational.period"
"global_1","","Afghanistan","33","65","23.3571428571429","0.10799208121744","0.0366234220366657","18.9263357166897","1.25125125125125","1.71171171171171","1.47147147147147","0.051344699620311","1.30536651782444","1.46280979228921","1.35286809403393","1.5302296152299","2.0592078535631","1.67883015527622","327","2020-03-24","2020-04-06","14"
"global_2","","Albania","41.1533","20.1683","15.2272727272727","0.573307853259664","0.0737227294476172","9.40208244802511","1.24124124124124","1.54154154154154","1.37137137137137","0.0605723281680126","1.36744579074044","1.55689409756442","1.4235138543225","1.4367498970989","1.76080349702376","1.52292257023291","335","2020-03-16","2020-04-06","22"
"global_3","","Algeria","28.0339","1.6596","62.5","1.15355863121607","0.14238791394462","4.86801977329014","1.3013013013013","1.73173173173173","1.51151151151151","0.104473133713205","1.69598512736725","2.05133980360747","1.79115680880246","1.61415983170521","2.08707117713935","1.74165595066301","1375","2020-03-16","2020-04-06","22"
"global_4","","Andorra","42.5063","1.5218","25.5789473684211","0.116310570722517","0.00723386998135831","95.8196901998773","1.21121121121121","1.48148148148148","1.32132132132132","0.0109131835116631","1.05949619101211","1.0898742180793","1.06941852012754","1.2966323233341","1.60765936922471","1.39318863731661","486","2020-03-19","2020-04-06","19"
"global_5","","Angola","-11.2027","17.8739","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_6","","Antigua and Barbuda","17.0608","-61.7964","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_7","","Argentina","-38.4161","-63.6167","68.5909090909091","0.997757709701221","0.122607378934279","5.65338878120451","1.23123123123123","0","0","0.0703014451454802","1.43544016309581","1.65976032533641","1.50045736331177","1.43051645481004","1.81129573280244","1.54294442534459","1509","2020-03-16","2020-04-06","22"
"global_8","","Armenia","40.0691","45.0382","36.6818181818182","0.315816488313494","0.0418141176049409","16.5768697335381","1.19119119119119","1.49149149149149","1.33133133133133","0.0445866346170871","1.26135383737404","1.39603903937522","1.30255337705827","1.33881413224332","1.65888335318249","1.43150916943814","807","2020-03-16","2020-04-06","22"
"global_9","Australian Capital Territory","Australia","-35.4735","149.0124","4.75","-0.762644670902884","-0.14683023127718","Inf","1.09109109109109","1.44144144144144","1.23123123123123","-0.21014896406459","0.287360049423616","0.0732876368630816","0.176680252338422","0.949713355011737","1.26196326066173","1.05309609795255","57","2020-03-26","2020-04-06","12"
"global_10","New South Wales","Australia","-33.8688","151.2093","92.4642857142857","1.01704861563542","0.0873698672727617","7.93348098373545","0","0","0","0.0537704058629026","1.32146176918274","1.48721539838204","1.37122065948509","1.21090416485974","1.48568975092704","1.3015792974297","2589","2020-03-10","2020-04-06","28"
"global_11","Northern Territory","Australia","-12.4634","130.8456","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_12","Queensland","Australia","-28.0167","153.4","38.0434782608696","0.332230071916676","0.0145833017933615","47.5301951767518","1.08108108108108","1.28128128128128","1.16116116116116","0.00810860157396733","1.04393956295103","1.06634485619248","1.05129647172968","1.15897702201216","1.400462662111","1.23653610873081","875","2020-03-15","2020-04-06","23"
"global_13","South Australia","Australia","-34.9285","138.6007","20.5","-0.0793074736605591","-0.0469421954100511","Inf","1.11111111111111","1.34134134134134","1.2012012012012","-0.0515200120506092","0.754581997189796","0.635811467558128","0.711088270429533","1.14715464916059","1.41792856788839","1.23441041978762","369","2020-03-20","2020-04-06","18"
"global_14","Tasmania","Australia","-41.4545","145.9707","3.9","-0.555448631436115","-0.107170327289123","Inf","0.970970970970971","1.31131131131131","1.12112112112112","-0.132762905850962","0.469248894199897","0.252222143034357","0.376226413383444","1.01180050000878","1.39235832990502","1.12896832902741","39","2020-03-28","2020-04-06","10"
"global_15","Victoria","Australia","-37.8136","144.9631","48.2173913043478","0.460891969553714","0.0279000142569604","24.8439722709827","1.11111111111111","1.35135135135135","1.21121121121121","0.0257875697215349","1.14516860981296","1.21970290288787","1.16883187214533","1.20200827077653","1.48773738835678","1.29685162899243","1109","2020-03-15","2020-04-06","23"
"global_16","Western Australia","Australia","-31.9505","115.8605","22.3684210526316","-0.0236448750142785","-0.0248012370366285","Inf","1.11111111111111","1.35135135135135","1.2012012012012","-0.0166552594688546","0.914447824278878","0.871508913607268","0.899688420817052","1.18005464645882","1.46327929946006","1.27341072619888","425","2020-03-19","2020-04-06","19"
"global_17","","Austria","47.5162","14.5501","391.333333333333","1.33456522604334","0.114324833617024","6.06296251330584","0","0","0","0.0643669127440132","1.393651067276","1.59656480141734","1.45322180356382","1.23357367137363","1.51827424466308","1.32642769567294","11740","2020-03-06","2020-04-04","30"
"global_18","","Azerbaijan","40.1431","47.5769","35.1176470588235","0.841779814767034","0.137901366051696","5.02639821783999","1.43143143143143","1.95195195195195","1.67167167167167","0.115238981421552","1.78543520991652","2.18462350870569","1.88948892163646","1.80782086990407","2.40192133870068","1.96344284755833","597","2020-03-21","2020-04-06","17"
"global_19","","Bahamas","25.0343","-77.3963","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_20","","Bahrain","26.0275","50.55","19.8","0.48509479683106","0.0360316622329911","19.2371691341314","1.23123123123123","1.42142142142142","1.31131131131131","0.0425759045647746","1.24849170004421","1.37651930298187","1.28781388668771","1.34905596623709","1.56007524401919","1.41485341582632","594","2020-03-04","2020-04-02","30"
"global_21","","Bangladesh","23.685","90.3563","10.5714285714286","1.37718837914331","0.488364249215028","1.41932416566953","3.38338338338338","5.05505505505506","4.19419419419419","0.573677301015096","10.5677374301","13.1261070732669","9.80739471168578","8.56547129632392","10.7392924292619","7.97254084099014","74","2020-03-31","2020-04-06","7"
"global_22","","Barbados","13.1939","-59.5432","3.5","-0.0339114574205377","0.0716863707177261","9.66916268211286","1.95195195195195","3.03303303303303","2.51251251251251","-9.63392266375855e-10","0.999999989819221","0.999999990626281","0.999999992599379","4.64110481891952","5.5370860352764","4.0460454553399","14","2020-04-03","2020-04-06","4"
"global_23","","Belarus","53.7098","27.9534","33.2","0.821775322065539","0.150583676713757","4.60306983921998","1.85185185185185","2.64264264264264","2.26226226226226","0.235593023515107","3.06290823300563","4.01462525866973","3.22444446845985","2.96406676515483","3.7916001525966","3.04481262928018","664","2020-03-18","2020-04-06","20"
"global_24","","Belgium","50.8333","4","558.233333333333","1.42672965193825","0.146761594189846","4.72294665635284","0","0","0","0.119492827901879","1.82179508940102","2.23861513828072","1.92925156403382","1.58003525955936","2.04403003312347","1.71933330966091","16747","2020-03-05","2020-04-03","30"
"global_25","","Benin","9.3077","2.3158","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_26","","Bhutan","27.5142","90.4336","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_27","","Bolivia","-16.2902","-63.5887","12.7272727272727","-0.0529435518858","0.0160585605567616","43.1637180748489","1.46146146146146","2.02202202202202","1.71171171171171","0.0314918951002892","1.17947118549176","1.27175593211499","1.20844607550779","1.6846896499146","2.33742207976698","1.88251071127483","140","2020-03-27","2020-04-06","11"
"global_28","","Bosnia and Herzegovina","43.9159","17.6791","33.4736842105263","0.404659141262603","0.0642415755866872","10.7896977032361","1.21121121121121","1.58158158158158","1.38138138138138","0.0485269434692564","1.28686800171215","1.43475130877621","1.33174388731198","1.38048668008157","1.77801889260241","1.4991079319794","636","2020-03-19","2020-04-06","19"
"global_29","","Brazil","-14.235","-51.9253","466.269230769231","1.43900201739839","0.155672084594552","4.45261064220505","0","0","0","0.117932521347341","1.80839069964112","2.21872336510787","1.9146065256962","1.68146337591917","2.13139887524237","1.79594891605114","12123","2020-03-12","2020-04-06","26"
"global_30","","Brunei","4.5353","114.7277","4.1304347826087","-0.527920033350077","-0.0824388383300214","Inf","0.980980980980981","1.12112112112112","1.04104104104104","-0.0837103780285625","0.628049892736799","0.457001123601662","0.56157230636483","0.939027533464636","1.06028348004278","0.978760115731178","95","2020-03-15","2020-04-06","23"
"global_31","","Bulgaria","42.7339","25.4858","22.0869565217391","0.578216112837721","0.0595690700936191","11.6360248610662","1.14114114114114","1.38138138138138","1.25125125125125","0.0272895201818016","1.15412139155454","1.23328621298215","1.17918164753065","1.27927060048454","1.54145483007328","1.35834998938215","508","2020-03-15","2020-04-06","23"
"global_32","","Burkina Faso","12.2383","-1.5616","19.0588235294118","-0.0533419760170992","-0.00653135084729667","Inf","1.16116116116116","1.44144144144144","1.28128128128128","-0.00887683577478528","0.953629812456303","0.930221070279125","0.945697311943184","1.26635973422548","1.58792910327981","1.3670628947911","324","2020-03-21","2020-04-06","17"
"global_33","","Cabo Verde","16.5388","-23.0418","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
