"sample.id","Province/State","Country/Region","Lat","Long","nb.cases.per.day","power.law.exponent","growth.rate.incidence.package","doubling.time","earlyR0.nishiura","earlyR0.wang","earlyR0.du","growth.rate.R0.package","R0.EG.nishiura","R0.EG.wang","R0.EG.du","R0.ML.nishiura","R0.ML.wang","R0.ML.du","total.nb.cases","first.date","end.date","observational.period"
"global_1","","Afghanistan","33","65","21.6666666666667","0.154088293278483","0.0395780450970467","17.5134264176092","1.34134134134134","1.83183183183183","1.57157157157157","0.0855080918807813","1.54711117770356","1.82815439718045","1.62584829238548","1.72506979643463","2.29370155453002","1.87715023802839","325","2020-03-22","2020-04-05","15"
"global_2","","Albania","41.1533","20.1683","10.8666666666667","0.441983060315762","0.106616451552842","6.50131542050435","1.49149149149149","2.03203203203203","1.75175175175175","0.117043327194986","1.80078684980779","2.20743283043416","1.90629174041738","1.9866389606327","2.55225786517301","2.08772092094163","163","2020-03-13","2020-03-27","15"
"global_3","","Algeria","28.0339","1.6596","28.5333333333333","0.791768650448339","0.15889852494098","4.36220022065908","1.48148148148148","2.1021021021021","1.78178178178178","0.133017297696592","1.94131585912681","2.41531309121784","2.05913310817238","1.95388925196264","2.67036771912974","2.13307156390208","428","2020-03-14","2020-03-28","15"
"global_4","","Andorra","42.5063","1.5218","24.9333333333333","-0.0185937323230654","-0.000771652776539603","Inf","1.14114114114114","1.55155155155155","1.33133133133133","0.0361294242023487","1.20796497941077","1.315005553697","1.2412670760915","1.42266900471897","1.88259435800346","1.54842722256497","374","2020-03-17","2020-03-31","15"
"global_5","","Angola","-11.2027","17.8739","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_6","","Antigua and Barbuda","17.0608","-61.7964","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_7","","Argentina","-38.4161","-63.6167","38","1.12253070426935","0.222357696011019","3.11726192974042","1.6016016016016","2.3023023023023","1.94194194194194","0.180157896669168","2.40720761082973","3.09233902319519","2.5541383332888","2.27196345004191","3.12039483333561","2.46886793700201","570","2020-03-13","2020-03-27","15"
"global_8","","Armenia","40.0691","45.0382","30.4","0.250869903801273","0.0558392765999491","12.4132550198649","1.41141141141141","1.86186186186186","1.61161161161161","0.0641791363637121","1.39234489664173","1.59458818465358","1.45174264083319","1.66001860109906","2.15925056528553","1.79171747672168","456","2020-03-16","2020-03-30","15"
"global_9","Australian Capital Territory","Australia","-35.4735","149.0124","5.13333333333333","-0.696387518271681","-0.134037505854702","Inf","1.05105105105105","1.31131131131131","1.15115115115115","-0.130882864102096","0.474648691898287","0.258643264454106","0.382433104778126","0.98051356074402","1.23444283871189","1.06358947163844","77","2020-03-23","2020-04-06","15"
"global_10","New South Wales","Australia","-33.8688","151.2093","42.7333333333333","0.990699496465994","0.196467896138376","3.52804297385944","2.05205205205205","2.9029029029029","2.45245245245245","0.259860764408283","3.39042485671198","4.46314172473145","3.54948548845104","3.05775367881643","4.13269343519823","3.2949442018768","641","2020-03-08","2020-03-22","15"
"global_11","Northern Territory","Australia","-12.4634","130.8456","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_12","Queensland","Australia","-28.0167","153.4","35.6666666666667","0.766573125207515","0.146673837716871","4.72577244414883","1.45145145145145","2.05205205205205","1.74174174174174","0.12529420550955","1.87232719278458","2.31346857755158","1.98431698165199","1.91742250650789","2.6049962474529","2.08887272587888","535","2020-03-13","2020-03-27","15"
"global_13","South Australia","Australia","-34.9285","138.6007","22.5333333333333","0.490139613416718","0.0606883690437467","11.4214171756749","1.26126126126126","1.7017017017017","1.46146146146146","0.0450360557718663","1.26424319218499","1.4004236206819","1.30586224711366","1.48494601395727","2.03250639823352","1.66309425397679","338","2020-03-18","2020-04-01","15"
"global_14","Tasmania","Australia","-41.4545","145.9707","4.46153846153846","-0.552385676568317","-0.112493599337264","Inf","1.27127127127127","1.61161161161161","1.4014014014014","-0.109456360712713","0.539930650144897","0.339694270886151","0.458128466205833","1.1723856581628","1.52459941747797","1.28566298825747","58","2020-03-25","2020-04-06","13"
"global_15","Victoria","Australia","-37.8136","144.9631","36.8666666666667","0.81248331662056","0.141077510428252","4.91323654958073","1.41141141141141","2.01201201201201","1.7017017017017","0.11804394670158","1.8093453363043","2.22014051431695","1.91565005123217","1.83919137157467","2.53291003274544","2.02415081780898","553","2020-03-13","2020-03-27","15"
"global_16","Western Australia","Australia","-31.9505","115.8605","22.4","0.869590860035276","0.11585610146813","5.98282845509539","1.34134134134134","1.84184184184184","1.57157157157157","0.0741987370162715","1.46342504732187","1.70202950794934","1.53199417060838","1.68160277475829","2.26197806233987","1.83796635672594","336","2020-03-17","2020-03-31","15"
"global_17","","Austria","47.5162","14.5501","132.266666666667","1.41126939953187","0.257994947491734","2.68666959294679","1.78178178178178","2.6026026026026","2.19219219219219","0.227641764511617","2.96115140138749","3.87369746907245","3.12221324903088","2.70806009833782","3.69173969001432","2.88849106418542","1984","2020-03-05","2020-03-19","15"
"global_18","","Azerbaijan","40.1431","47.5769","24.8","0.591394725810016","0.129112590100251","5.36854833461046","1.48148148148148","2.08208208208208","1.77177177177177","0.144070656847935","2.04353896575797","2.56546899950517","2.16924179605344","2.04949778833018","2.75172524893858","2.20747253800461","372","2020-03-19","2020-04-02","15"
"global_19","","Bahamas","25.0343","-77.3963","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_20","","Bahrain","26.0275","50.55","11.4666666666667","0.481755860022234","0.14156829984548","4.89620332600239","2.2022022022022","2.96296296296296","2.55255255255255","0.270702740393206","3.5452648553792","4.67261834428899","3.70115766328328","3.34517196116473","4.29847375525544","3.54327490549812","172","2020-02-26","2020-03-11","15"
"global_21","","Bangladesh","23.685","90.3563","6.4","0.149594030170399","0.0729815539513607","9.49756675531875","2.17217217217217","2.8028028028028","2.45245245245245","0.206869013751996","2.70774001317194","3.5193021212941","2.86485778326199","2.98101064852945","3.60684812779325","3.05272679663083","96","2020-03-23","2020-04-06","15"
"global_22","","Barbados","13.1939","-59.5432","3.77777777777778","-0.195208724363865","-0.0315639785200724","Inf","1.22122122122122","1.83183183183183","1.53153153153153","0.0220735083536836","1.12327043963938","1.18648805240975","1.14348520873227","1.796740125771","2.53135316372566","1.9543503569489","34","2020-03-29","2020-04-06","9"
