"sample.id","Province.State","Country.Region","Lat","Long","temp.min","temp.max","temp.ave","d.temp.range","temp.seasonality","precipitation","precipitation.seasonality","aridity","solar.rad","wind.speed","water.vapor.pressure","humidity","elevation","warming.velocity","human.footprint","gdp.per.capita","human.dev.index","population.density","pm25"
"global_1","","Afghanistan",33,65,-2.25145205391409,10.1948675570423,3.97186301578865,12.4463196109564,995.472264816772,44.9315068493151,103.695643664495,1296.48313473877,16308.698630137,2.42970778027626,0.463835614933271,0.560194397558069,2018.22602739726,25372.9426405884,28.7635314589248,1341.55834960938,0.294999986886978,28.422918794362,6.90456824677898
"global_2","","Albania",41.1533,20.1683,1.52085476686707,10.6246971052712,6.07295436021791,9.10384233840413,655.613229332129,93.2883817427386,34.5705406497623,8859.10916886544,12862.4377593361,1.80246472309239,0.669868879793096,0.699524828168686,706.433609958506,30352.3966989687,32.6740850642928,4545.57167561849,0.634999990463257,190.314911107305,9.08551199313256
"global_3","","Algeria",28.0339,1.6596,10.9787855332156,26.7802506917931,18.8792579145317,15.8014651585774,898.412469408885,2.59518072289157,40.2135429106563,57.5721167742557,22405.0843373494,4.85669398020549,0.588676622833114,0.269900076405846,526.190361445783,112499.674734579,0.882506024096386,10238.8837890625,0.577000021934509,1.15741387849831,1.88037146905931
"global_4","","Andorra",42.5063,1.5218,-2.64207229552319,6.33758232928813,1.84822490038799,8.97965462481132,613.905965536953,80.1907630522088,18.4915592220414,10130.3773006135,14257.2048192771,5.55633734459858,0.495900400132539,0.699312226885777,1560.46787148594,17089.6975953745,27.2170755326017,26430.1429783555,0.77922841075991,29.7265495557383,4.12465417890871
"global_5","","Angola",-11.2027,17.8739,15.8386031382929,27.5380635337224,21.6883598156076,11.6994603954295,139.954259297204,119.050264550265,84.7609023846016,7247.50875694148,15829.2962962963,1.613248703341,1.77243173910827,0.683336985094625,1197.30158730159,146424.136968886,25.5342158642041,4806.43017578125,0.36545318365097,3.41453995023455,18.6458365364186
"global_6","","Antigua and Barbuda",17.0608,-61.7964,23.1209372792925,29.2307112557547,26.1749664034162,6.10977397646223,109.282260894775,60.4285714285714,36.3207998956953,5580.14367816092,22587.0714285714,5.08077137810843,2.53901158911841,0.747582902182167,41.3571428571429,69124.3158313221,62.5264797507788,17153.72265625,0.690381586551666,266.634394028608,0.481462143264302
"global_7","","Argentina",-38.4161,-63.6167,11.7371040311842,26.5250700041494,19.1309893986728,14.7879659729652,596.96505005142,61.9596602972399,38.3954990249277,2692.0208993576,17215.6624203822,3.29496391108082,1.36544798969463,0.616528377939635,79.6284501061571,208438.788602223,11.5836976086398,7637.17738560268,0.716153400284903,1.03543135220078,2.35212554867705
"global_8","","Armenia",40.0691,45.0382,-6.57269455205111,3.39802510544627,-1.58777404229048,9.97071965749738,910.368223565393,35.663179916318,43.7356763624247,3926.98727394508,13425.9225941423,2.14594139663744,0.399546440020515,0.720692635849175,1881.46234309623,71444.7989434661,31.15331769437,4098.97585025504,0.630104308285989,173.5996685385,15.0802278813983
"global_9","Australian Capital Territory","Australia",-35.4735,149.0124,5.03514606765147,17.9100404182177,11.4729258419423,12.8748943505662,512.425615289238,66.1820224719101,15.9927700942822,6524.15164737311,13194,3.0267954997802,0.962122240629089,0.708598061985673,939.683146067416,63452.9327006936,21.2240719309178,33463.7177820796,0.87608738124898,53.1266651790589,1.69280762019269
"global_10","New South Wales","Australia",-33.8688,151.2093,16.0790421568503,25.1403125327403,20.6089650927566,9.06127037589005,395.252702367587,130.224409448819,28.5359632837491,6776.16921417011,17515.311023622,3.3982751970216,1.79311020073928,0.738867629342886,85.3464566929134,122259.905712454,56.5058928571429,30000.580078125,0.880248427391052,1013.01582977502,3.18655501806229
"global_11","Northern Territory","Australia",-12.4634,130.8456,23.0762716633405,32.6228989445886,27.8489385131718,9.5466272812481,171.492031659267,92.5658914728682,107.354303788769,7458.44415680473,20902.0891472868,2.66610069237938,2.65914808225262,0.709702026412956,22.093023255814,336107.084310206,18.7102821801314,37636.16015625,0.821685314178467,36.5277879925685,5.25389657445427
"global_12","Queensland","Australia",-28.0167,153.4,17.9477361127904,27.1608943286504,22.5539505817138,9.21315821586,374.257969033129,166.749049429658,44.58156775703,8605.25959810489,18604.1863117871,3.72054340902843,2.02523715867742,0.740351832840766,143.433460076046,93085.5870308856,36.8784307122411,27019.0801618304,0.882294902631215,213.675406145534,1.50262123374972
"global_13","South Australia","Australia",-34.9285,138.6007,12.7818266001897,25.2360632706931,19.0083902526756,12.4542366705034,414.449965685121,29.413680781759,45.6824820950288,3690.11899251191,19655.5244299674,4.46133886253407,1.2072853614919,0.548622193203905,216.332247557003,98459.4305104381,46.3144146608315,25780.400390625,0.875743567943573,263.06435291382,1.07831348287112
"global_14","Tasmania","Australia",-41.4545,145.9707,6.14955960421623,14.5810768875895,10.3653509566553,8.43151728337324,314.880134099646,134.329113924051,32.3972377978297,16659.2756110244,10395.0253164557,4.92218332501906,0.953007596831784,0.754880843859255,514.145569620253,18136.6251687872,19.6861383560455,23644.875,0.86042708158493,19.3511064384578,0.980887070625895
"global_15","Victoria","Australia",-37.8136,144.9631,12.1808367263326,24.020550003442,18.1008656860313,11.8397132771094,397.780612565063,48.5601023017903,16.7444023390865,5341.74837748697,16958.3734015345,4.16567616023676,1.28522514382287,0.618367584602746,150.427109974425,99989.6280244885,48.9224550579726,26288.48828125,0.878446459770203,626.388827172935,2.52544173956203
